lane_id	domain	report_path	status	primary_scope	top_risk
01	C# GUI/CLI app	subagents/depth1/lane01_csharp_app_inventory.md	active	Program.cs; BesFilePatcher.cs; Views/*	Large code-behind concentration and duplicate keybind parse logic
02	Python GUI/CLI app	subagents/depth1/lane02_python_app_inventory.md	active	patcher.py; onslaught/core/*; onslaught/gui/*	GUI tabs import patcher.py directly (coupling risk)
03	Tests/regression harness	subagents/depth1/lane03_test_coverage_inventory.md	active	OnslaughtCareerEditor.UiTests/*; tests_pyqt/*	Read-only CLI/config safety and C# binary patch coverage gaps
04	Binary patch infrastructure	subagents/depth1/lane04_binary_patch_inventory.md	active	patches/*; BinaryPatchEngine.cs; onslaught/core/binary_patches.py	No shared catalog source at audit time; mixed backup semantics in legacy scripts
05	Canonical RE docs	subagents/depth1/lane05_reverse_engineering_docs_inventory.md	active	reverse-engineering/**	High churn/size and stale claim risk
06	Lore mirror coverage	subagents/depth1/lane06_lorebook_mirror_inventory.md	active	lore/** -> lore-book/lore/**	Intentional link-depth rewrites can look like drift
07	Roadmap/process docs	subagents/depth1/lane07_roadmap_process_inventory.md	active	roadmap/**; AGENTS.md; *_state.json	Split authority across status/checklist docs can create ambiguity
08	Skill alignment map	subagents/depth1/lane08_skill_alignment_inventory.md	active	~/.codex/skills/*	Skill drift risk for critical save/binary semantics
09	Release sensitivity inventory	subagents/depth1/lane09_release_risk_inventory.md	active	game/**; media/**; scratch/**; references/*	Private/proprietary families need enforceable allowlist/denylist
10	Reference submodule impact	subagents/depth1/lane10_reference_submodule_inventory.md	active	references/Onslaught; references/AYAResourceExtractor	Submodule provenance/licensing and dormant integration hooks
